,location
0,"40.74869025486597,-73.99934144838926"
1,"40.74869025486597,-73.99934144838926"
2,"40.74888367720787,-73.9993980024588"
3,"40.74888367720787,-73.9993980024588"
4,"40.74842126345669,-73.99917221689611"
5,"40.74842126345669,-73.99917221689611"
6,"40.75191378295288,-74.0018022104116"
7,"40.7497643518734,-74.00176886120379"
8,"40.71466285956932,-73.98005432656163"
9,"40.71267022028312,-73.98738723306698"
10,"40.71085673704353,-73.99090737911668"
11,"40.71585337174943,-73.99117460734702"
12,"40.71153085119785,-73.98876246072108"
13,"40.71153085119785,-73.98876246072108"
14,"40.71975093982663,-73.99190173100817"
15,"40.72111180737087,-73.99080939078492"
16,"40.72111180737087,-73.99080939078492"
17,"40.714167383577966,-73.98634307997045"
18,"40.71762338494735,-73.98773640868474"
19,"40.72141677230258,-73.99073616114508"
20,"40.71255834975637,-73.9908531524675"
21,"40.71255834975637,-73.9908531524675"
22,"40.71255834975637,-73.9908531524675"
23,"40.71255834975637,-73.9908531524675"
24,"40.72034728286476,-73.99140853409992"
25,"40.72034728286476,-73.99140853409992"
26,"40.71834637833235,-73.98735347832968"
27,"40.71489931290317,-73.97967675658703"
28,"40.71629290117241,-73.98116276793903"
29,"40.71186144068949,-73.99570534105531"
30,"40.71186144068949,-73.99570534105531"
31,"40.71116374719326,-73.99468130205378"
32,"40.71116374719326,-73.99468130205378"
33,"40.71180534071394,-73.9814223971616"
34,"40.71180534071394,-73.9814223971616"
35,"40.71310466487073,-73.99148320045714"
36,"40.71310466487073,-73.99148320045714"
37,"40.71310466487073,-73.99148320045714"
38,"40.719572527806825,-73.9909804491532"
39,"40.71975542546429,-73.98139601209371"
40,"40.711646670760935,-73.99136998509093"
41,"40.711646670760935,-73.99136998509093"
42,"40.711646670760935,-73.99136998509093"
43,"40.71485168483424,-73.98310344728942"
44,"40.71485168483424,-73.98310344728942"
45,"40.71589816396767,-73.9918950391488"
46,"40.71128347114779,-73.98587869238332"
47,"40.71128347114779,-73.98587869238332"
48,"40.71128347114779,-73.98587869238332"
49,"40.71128347114779,-73.98587869238332"
50,"40.71967882797003,-73.98651652435797"
51,"40.71549844403874,-73.97893175956612"
52,"40.73568778124008,-73.99220014312739"
53,"40.736398022082746,-73.98149956297576"
54,"40.73235162665021,-73.98216382834485"
55,"40.73570531705009,-73.98069209949415"
56,"40.73570531705009,-73.98069209949415"
57,"40.71590368847963,-74.01249996810647"
58,"40.71608187795887,-74.01329767222242"
59,"40.72299302047705,-73.9768406291052"
60,"40.72299302047705,-73.9768406291052"
61,"40.72299302047705,-73.9768406291052"
62,"40.72683135444485,-73.97669722932856"
63,"40.72395134346847,-73.97586619940367"
64,"40.73012647370161,-73.98227351258339"
65,"40.73012647370161,-73.98227351258339"
66,"40.73012647370161,-73.98227351258339"
67,"40.72678348539425,-73.97874387062495"
68,"40.722870147913504,-73.97815365968083"
69,"40.722870147913504,-73.97815365968083"
70,"40.72179357595199,-73.97796640313705"
71,"40.7258261393214,-73.97585296409106"
72,"40.7258261393214,-73.97585296409106"
73,"40.722086328179074,-73.97683830804556"
74,"40.722086328179074,-73.97683830804556"
75,"40.722086328179074,-73.97683830804556"
76,"40.72309404357535,-73.9751133287225"
77,"40.72962855092251,-73.98115185010464"
78,"40.72577545273635,-73.98472118362267"
79,"40.72621074917606,-73.98490900195867"
80,"40.72582203928032,-73.98456954523664"
81,"40.72519723067815,-73.98505742366201"
82,"40.72203332266846,-73.97407332636682"
83,"40.72653477429636,-73.97405614543193"
84,"40.72653477429636,-73.97405614543193"
85,"40.7433321019942,-74.00212318861482"
86,"40.739542171150966,-73.99453915219863"
87,"40.742260762788526,-74.00279537531367"
88,"40.73496741535462,-73.99939198778202"
89,"40.72956860846717,-74.00159393180381"
90,"40.72931307087182,-74.0002868517662"
91,"40.71835947207845,-73.99868477452333"
92,"40.71835947207845,-73.99868477452333"
93,"40.73258604942802,-74.00217702468836"
94,"40.73155979404735,-74.00760866303055"
95,"40.73092147471965,-74.00235509623846"
96,"40.73196374674136,-74.00677738524551"
97,"40.73196374674136,-74.00677738524551"
98,"40.744822142489625,-73.97160276652541"
99,"40.766295292011286,-73.99042336870613"
100,"40.766295292011286,-73.99042336870613"
101,"40.76521387276287,-73.99110303178495"
102,"40.766748235289306,-73.99177541418753"
103,"40.766748235289306,-73.99177541418753"
104,"40.76406405447483,-73.98635845480503"
105,"40.761019061208096,-73.98345913542276"
106,"40.76554096493185,-73.99054671171629"
107,"40.77167832866369,-73.95834780706235"
108,"40.77318584659153,-73.98800519139971"
109,"40.774406543374624,-73.98637671085476"
110,"40.77062493418586,-73.98210941949495"
111,"40.77982511148814,-73.97671273179158"
112,"40.77204402882627,-73.98759687895188"
113,"40.77204402882627,-73.98759687895188"
114,"40.7748245582199,-73.9880638561947"
115,"40.77335303479241,-73.98932233254321"
116,"40.77335303479241,-73.98932233254321"
117,"40.78777096111713,-73.97366750503583"
118,"40.78777096111713,-73.97366750503583"
119,"40.784314531976406,-73.9723535451076"
120,"40.78423429315147,-73.97556715416874"
121,"40.788843845389806,-73.96853187946968"
122,"40.78059926060413,-73.97720872567344"
123,"40.78059926060413,-73.97720872567344"
124,"40.78059926060413,-73.97720872567344"
125,"40.79665264204668,-73.9688508982195"
126,"40.79584609000302,-73.97004792630881"
127,"40.79656620509213,-73.96119795894991"
128,"40.79656620509213,-73.96119795894991"
129,"40.79904610000256,-73.96042564140954"
130,"40.80211726129398,-73.96148532746858"
131,"40.80081411335143,-73.96158908717656"
132,"40.80081411335143,-73.96158908717656"
133,"40.79674556431329,-73.96677338147076"
134,"40.8020677392418,-73.96267318206482"
135,"40.8020677392418,-73.96267318206482"
136,"40.8020677392418,-73.96267318206482"
137,"40.80263957498288,-73.96674529412213"
138,"40.80263957498288,-73.96674529412213"
139,"40.795908103080365,-73.96532647401031"
140,"40.803487761361566,-73.96415854895469"
141,"40.79985070685815,-73.96017064540354"
142,"40.79245563513442,-73.96814887002294"
143,"40.79245563513442,-73.96814887002294"
144,"40.79569358929918,-73.96901265951333"
145,"40.79525536284044,-73.96941665124575"
146,"40.79588132382761,-73.96255403146823"
147,"40.79588132382761,-73.96255403146823"
148,"40.80005417089125,-73.96056193940788"
149,"40.79174156485377,-73.97077260486813"
150,"40.79174156485377,-73.97077260486813"
151,"40.800791925324354,-73.9661948888801"
152,"40.800791925324354,-73.9661948888801"
153,"40.799795493745016,-73.96583868000832"
154,"40.79767336514869,-73.96466468271497"
155,"40.80116145247383,-73.95720165645058"
156,"40.80090226464528,-73.95055742753902"
157,"40.80090226464528,-73.95055742753902"
158,"40.79903017020778,-73.95233483500027"
159,"40.80143530571015,-73.9465970441743"
160,"40.80108225046454,-73.94845568134626"
161,"40.80108225046454,-73.94845568134626"
162,"40.806197600429904,-73.95114108010728"
163,"40.806197600429904,-73.95114108010728"
164,"40.803611004569525,-73.95195499912069"
165,"40.79985275478157,-73.9467688783914"
166,"40.79812967437624,-73.9493610852004"
167,"40.79812967437624,-73.9493610852004"
168,"40.80324639577152,-73.95767069139461"
169,"40.80324639577152,-73.95767069139461"
170,"40.803849991513225,-73.95001406732605"
171,"40.80641182583622,-73.95718547842624"
172,"40.80641182583622,-73.95718547842624"
173,"40.80641182583622,-73.95718547842624"
174,"40.80641182583622,-73.95718547842624"
175,"40.80641182583622,-73.95718547842624"
176,"40.80641182583622,-73.95718547842624"
177,"40.80162006929212,-73.95045757326203"
178,"40.80162006929212,-73.95045757326203"
179,"40.8041343050129,-73.95239937419828"
180,"40.80540155879038,-73.95077357142951"
181,"40.80540155879038,-73.95077357142951"
182,"40.80498525417262,-73.95689740620568"
183,"40.80498525417262,-73.95689740620568"
184,"40.80498525417262,-73.95689740620568"
185,"40.80498525417262,-73.95689740620568"
186,"40.80498525417262,-73.95689740620568"
187,"40.80227590367389,-73.94765795147688"
188,"40.80227590367389,-73.94765795147688"
189,"40.813132468746,-73.94899497614605"
190,"40.813132468746,-73.94899497614605"
191,"40.813132468746,-73.94899497614605"
192,"40.81460193070094,-73.95315190807185"
193,"40.81361878118025,-73.9491333337632"
194,"40.81361878118025,-73.9491333337632"
195,"40.81361878118025,-73.9491333337632"
196,"40.81361878118025,-73.9491333337632"
197,"40.81361878118025,-73.9491333337632"
198,"40.81361878118025,-73.9491333337632"
199,"40.815315968506894,-73.95495421886928"
200,"40.81226212489909,-73.95531209722952"
201,"40.81226212489909,-73.95531209722952"
202,"40.81086335399812,-73.94581910024601"
203,"40.81086335399812,-73.94581910024601"
