,zipcode,size,amount_built
0,10001,small,0.0
1,10001,medium,0.0
2,10001,large,2.0
3,10002,small,0.0
4,10002,medium,0.0
5,10002,large,3.0
6,10003,small,0.0
7,10003,medium,0.0
8,10003,large,4.0
9,10004,small,1.0
10,10004,medium,0.0
11,10004,large,1.0
12,10005,small,0.0
13,10005,medium,0.0
14,10005,large,2.0
15,10006,small,1.0
16,10006,medium,0.0
17,10006,large,0.0
18,10007,small,0.0
19,10007,medium,0.0
20,10007,large,2.0
21,10009,small,0.0
22,10009,medium,0.0
23,10009,large,5.0
24,10010,small,0.0
25,10010,medium,0.0
26,10010,large,5.0
27,10011,small,0.0
28,10011,medium,0.0
29,10011,large,3.0
30,10012,small,1.0
31,10012,medium,0.0
32,10012,large,2.0
33,10013,small,0.0
34,10013,medium,0.0
35,10013,large,4.0
36,10014,small,0.0
37,10014,medium,0.0
38,10014,large,2.0
39,10016,small,0.0
40,10016,medium,0.0
41,10016,large,6.0
42,10017,small,0.0
43,10017,medium,0.0
44,10017,large,1.0
45,10019,small,1.0
46,10019,medium,0.0
47,10019,large,3.0
48,10021,small,0.0
49,10021,medium,0.0
50,10021,large,6.0
51,10022,small,1.0
52,10022,medium,0.0
53,10022,large,4.0
54,10023,small,0.0
55,10023,medium,0.0
56,10023,large,11.0
57,10024,small,0.0
58,10024,medium,0.0
59,10024,large,14.0
60,10025,small,0.0
61,10025,medium,0.0
62,10025,large,13.0
63,10026,small,0.0
64,10026,medium,0.0
65,10026,large,6.0
66,10027,small,0.0
67,10027,medium,0.0
68,10027,large,10.0
69,10028,small,1.0
70,10028,medium,0.0
71,10028,large,5.0
72,10029,small,0.0
73,10029,medium,0.0
74,10029,large,11.0
75,10030,small,0.0
76,10030,medium,0.0
77,10030,large,6.0
78,10031,small,0.0
79,10031,medium,0.0
80,10031,large,7.0
81,10032,small,0.0
82,10032,medium,0.0
83,10032,large,6.0
84,10033,small,0.0
85,10033,medium,0.0
86,10033,large,9.0
87,10034,small,0.0
88,10034,medium,0.0
89,10034,large,8.0
90,10035,small,0.0
91,10035,medium,0.0
92,10035,large,6.0
93,10036,small,0.0
94,10036,medium,0.0
95,10036,large,2.0
96,10037,small,0.0
97,10037,medium,0.0
98,10037,large,3.0
99,10038,small,0.0
100,10038,medium,0.0
101,10038,large,2.0
102,10039,small,0.0
103,10039,medium,0.0
104,10039,large,6.0
105,10040,small,0.0
106,10040,medium,0.0
107,10040,large,6.0
108,10044,small,0.0
109,10044,medium,0.0
110,10044,large,3.0
111,10065,small,0.0
112,10065,medium,0.0
113,10065,large,7.0
114,10069,small,0.0
115,10069,medium,1.0
116,10069,large,2.0
117,10075,small,0.0
118,10075,medium,0.0
119,10075,large,4.0
120,10128,small,1.0
121,10128,medium,0.0
122,10128,large,9.0
123,10280,small,1.0
124,10280,medium,0.0
125,10280,large,1.0
126,10282,small,1.0
127,10282,medium,0.0
128,10282,large,1.0
129,10301,small,0.0
130,10301,medium,0.0
131,10301,large,8.0
132,10302,small,0.0
133,10302,medium,0.0
134,10302,large,4.0
135,10303,small,0.0
136,10303,medium,0.0
137,10303,large,4.0
138,10304,small,0.0
139,10304,medium,0.0
140,10304,large,6.0
141,10305,small,0.0
142,10305,medium,0.0
143,10305,large,5.0
144,10306,small,0.0
145,10306,medium,1.0
146,10306,large,8.0
147,10307,small,0.0
148,10307,medium,1.0
149,10307,large,3.0
150,10308,small,0.0
151,10308,medium,1.0
152,10308,large,3.0
153,10309,small,1.0
154,10309,medium,0.0
155,10309,large,6.0
156,10310,small,0.0
157,10310,medium,0.0
158,10310,large,7.0
