,facility_code,category,slot_expanded
0,837597,under5,16.0
1,837597,over5,0.0
2,661697,under5,0.0
3,661697,over5,0.0
4,837329,under5,0.0
5,837329,over5,0.0
6,350076,under5,0.0
7,350076,over5,0.0
8,292419,under5,5.0
9,292419,over5,0.0
10,229433,under5,17.0
11,229433,over5,0.0
12,827488,under5,0.0
13,827488,over5,0.0
14,912862,under5,0.0
15,912862,over5,0.0
16,893683,under5,58.0
17,893683,over5,0.0
18,73477,under5,0.0
19,73477,over5,0.0
20,120981,under5,61.0
21,120981,over5,0.0
22,73557,under5,28.0
23,73557,over5,0.0
24,694855,under5,0.0
25,694855,over5,0.0
26,338029,under5,0.0
27,338029,over5,0.0
28,247404,under5,0.0
29,247404,over5,0.0
30,73521,under5,34.0
31,73521,over5,0.0
32,742500,under5,47.0
33,742500,over5,0.0
34,51722,under5,0.0
35,51722,over5,0.0
36,73617,under5,3.0
37,73617,over5,0.0
38,209013,under5,0.0
39,209013,over5,0.0
40,74169,under5,39.0
41,74169,over5,0.0
42,64098,under5,0.0
43,64098,over5,0.0
44,661102,under5,0.0
45,661102,over5,0.0
46,73420,under5,22.0
47,73420,over5,0.0
48,64035,under5,0.0
49,64035,over5,0.0
50,840218,under5,0.0
51,840218,over5,0.0
52,249795,under5,0.0
53,249795,over5,0.0
54,820372,under5,22.0
55,820372,over5,0.0
56,793907,under5,0.0
57,793907,over5,0.0
58,782860,under5,0.0
59,782860,over5,0.0
60,218172,under5,43.0
61,218172,over5,0.0
62,101512,under5,37.0
63,101512,over5,0.0
64,744771,under5,0.0
65,744771,over5,0.0
66,835652,under5,0.0
67,835652,over5,0.0
68,849400,under5,0.0
69,849400,over5,0.0
70,744762,under5,0.0
71,744762,over5,0.0
72,747475,under5,0.0
73,747475,over5,0.0
74,768543,under5,0.0
75,768543,over5,0.0
76,800085,under5,0.0
77,800085,over5,0.0
78,329041,under5,22.0
79,329041,over5,0.0
80,233257,under5,21.0
81,233257,over5,0.0
82,151021,under5,0.0
83,151021,over5,0.0
84,73423,under5,40.0
85,73423,over5,0.0
