,under5_expansion_slots
837597,13.0
661697,-0.0
837329,-0.0
350076,0.0
292419,10.0
229433,16.0
827488,0.0
912862,0.0
893683,57.0
73477,0.0
120981,41.0
73557,14.0
694855,0.0
338029,0.0
247404,0.0
73521,17.0
742500,23.0
51722,0.0
73617,0.0
209013,0.0
74169,19.0
64098,0.0
661102,-0.0
73420,11.0
64035,0.0
840218,0.0
249795,0.0
820372,11.0
793907,0.0
782860,0.0
218172,21.0
101512,18.0
744771,0.0
835652,0.0
849400,0.0
744762,0.0
747475,0.0
768543,0.0
800085,0.0
329041,11.0
233257,10.0
151021,0.0
73423,20.0
339200,28.0
73562,16.0
444459,-0.0
368916,0.0
773173,0.0
709524,11.0
73476,0.0
846764,0.0
266531,22.0
327747,-0.0
673663,24.0
713043,26.0
396891,0.0
64214,0.0
64053,0.0
73422,7.0
73559,20.0
616797,-0.0
820539,15.0
908644,14.0
918787,0.0
903962,0.0
908690,11.0
709548,31.0
72820,28.0
260286,5.0
741997,17.0
741987,43.0
709555,15.0
906583,21.0
73620,0.0
741995,39.0
397219,0.0
914104,22.0
73663,-0.0
217639,-0.0
698848,4.0
72446,-0.0
709528,12.0
846799,-0.0
299734,-0.0
231469,34.0
760214,7.0
764811,4.0
384253,0.0
711312,12.0
101462,55.0
74167,22.0
73508,19.0
64274,0.0
730526,45.0
64266,0.0
627129,-0.0
443178,0.0
358298,-0.0
780704,12.0
720105,0.0
661574,0.0
711039,24.0
124303,0.0
805711,0.0
765875,0.0
825379,0.0
709546,17.0
779279,0.0
254731,60.0
741990,57.0
863711,0.0
902868,30.0
889850,0.0
52405,0.0
693059,-0.0
874924,-0.0
73581,12.0
848481,-0.0
73506,21.0
736322,-0.0
801925,0.0
712081,1.0
839931,0.0
613980,-0.0
920666,0.0
913240,-0.0
333086,-0.0
866851,-0.0
880314,-0.0
73544,0.0
74092,0.0
826115,0.0
853113,0.0
412458,0.0
380174,0.0
64373,0.0
52235,0.0
73566,0.0
848308,11.0
741983,0.0
66813,0.0
826825,22.0
431806,0.0
825380,0.0
852478,-0.0
804630,53.0
817242,13.0
679107,0.0
664649,0.0
808445,13.0
805702,33.0
879326,30.0
905115,6.0
892293,18.0
702707,-0.0
741994,0.0
822384,-0.0
741992,0.0
613926,-0.0
563447,-0.0
772592,0.0
805710,0.0
663226,0.0
638201,-0.0
860035,-0.0
718134,-0.0
889399,-0.0
905401,0.0
71190,0.0
872586,0.0
837717,0.0
273359,0.0
823536,-0.0
861501,0.0
149672,0.0
388170,13.0
877353,-0.0
728352,28.0
158689,0.0
51742,0.0
860160,0.0
817683,0.0
736567,-0.0
324437,0.0
788797,-0.0
806960,13.0
596999,0.0
355028,0.0
849222,-0.0
628344,0.0
64496,0.0
824561,0.0
794872,18.0
765494,0.0
73540,19.0
64447,0.0
845170,6.0
567083,0.0
856033,-0.0
384331,0.0
899398,0.0
886512,0.0
895454,0.0
919478,12.0
520607,-0.0
396566,-0.0
734382,-0.0
764256,-0.0
64687,0.0
461108,-0.0
66981,0.0
321229,0.0
232906,19.0
710423,-0.0
64700,0.0
73528,0.0
205735,-0.0
826823,5.0
363015,0.0
842148,0.0
381536,-0.0
441669,-0.0
780996,0.0
851678,0.0
293780,0.0
689611,0.0
711608,-0.0
847805,-0.0
863892,0.0
807349,0.0
700756,-0.0
770034,-0.0
341945,0.0
595105,-0.0
681425,0.0
648667,0.0
841386,-0.0
502212,0.0
134369,22.0
922068,0.0
915847,0.0
894061,0.0
899891,0.0
890633,-0.0
892595,-0.0
891660,0.0
917184,18.0
765038,0.0
679417,13.0
407256,-0.0
594704,-0.0
808817,0.0
853367,-0.0
397208,-0.0
544662,0.0
232875,15.0
859167,-0.0
867683,0.0
855186,24.0
838037,0.0
709901,44.0
599414,-0.0
617208,-0.0
816574,-0.0
223515,13.0
806271,0.0
790360,-0.0
782815,0.0
709912,17.0
332842,-0.0
514042,-0.0
102905,0.0
822562,0.0
109496,-0.0
158113,0.0
857868,0.0
709911,14.0
689581,12.0
74205,14.0
775110,0.0
709905,29.0
610480,-0.0
875256,0.0
822559,0.0
709903,0.0
880728,-0.0
647184,0.0
307824,0.0
818576,0.0
760416,-0.0
827667,0.0
386679,-0.0
824251,-0.0
709904,13.0
128506,0.0
913092,0.0
895048,0.0
917506,-0.0
906213,0.0
914340,0.0
915061,0.0
895588,0.0
892021,-0.0
907178,14.0
915285,2.0
913400,0.0
470089,0.0
71275,-0.0
912608,10.0
860161,7.0
742495,9.0
73945,0.0
139195,19.0
843508,0.0
796436,18.0
64935,0.0
626319,-0.0
276019,0.0
818044,14.0
748552,35.0
848698,0.0
817908,0.0
709893,0.0
674921,0.0
735663,0.0
872251,0.0
689616,0.0
515372,-0.0
878365,16.0
847691,10.0
796160,16.0
258374,23.0
710472,0.0
872614,-0.0
674207,-0.0
428571,0.0
608383,0.0
244334,-0.0
64926,0.0
64855,0.0
867540,0.0
73512,14.0
788379,0.0
744778,8.0
848766,0.0
750783,0.0
136955,0.0
856735,-0.0
241556,-0.0
158181,0.0
443640,0.0
829643,0.0
340205,0.0
744779,0.0
129992,8.0
64934,0.0
265034,0.0
688240,0.0
825247,0.0
678331,-0.0
827584,0.0
709889,8.0
709887,0.0
259483,-0.0
576937,0.0
138540,-0.0
887437,-0.0
894234,0.0
883598,0.0
902587,0.0
894648,16.0
902748,12.0
894459,11.0
893629,0.0
902023,0.0
898288,0.0
914994,-0.0
499128,0.0
847573,0.0
568206,0.0
664549,0.0
846657,-0.0
836605,0.0
513498,0.0
789926,0.0
870836,18.0
796576,-0.0
709906,0.0
257741,-0.0
790141,0.0
71688,0.0
306118,-0.0
872615,0.0
74242,8.0
817993,0.0
475384,22.0
762331,0.0
325027,0.0
417619,0.0
889318,-0.0
909015,-0.0
908901,0.0
900110,0.0
901275,0.0
910710,0.0
554568,-0.0
816768,-0.0
876224,0.0
52238,0.0
364340,-0.0
523174,0.0
475386,0.0
637571,0.0
451719,-0.0
780304,-0.0
688158,-0.0
65097,0.0
791329,-0.0
386867,-0.0
397430,-0.0
275294,-0.0
870165,0.0
65104,0.0
51199,0.0
571556,0.0
282569,-0.0
863359,0.0
734640,-0.0
816327,0.0
798009,0.0
215109,0.0
344265,-0.0
873937,-0.0
878416,-0.0
698060,-0.0
158699,0.0
684078,-0.0
769924,0.0
229764,0.0
612679,-0.0
349322,0.0
584441,-0.0
854112,-0.0
491506,-0.0
629131,-0.0
307551,0.0
228662,-0.0
71551,0.0
250047,-0.0
864336,-0.0
835919,-0.0
364266,0.0
154383,0.0
336171,-0.0
649096,-0.0
603270,0.0
920147,-0.0
919342,0.0
921705,0.0
907934,-0.0
883844,-0.0
886548,0.0
909078,-0.0
897156,-0.0
914331,-0.0
429815,-0.0
508078,-0.0
692719,0.0
252999,0.0
367950,-0.0
867335,0.0
643864,0.0
649507,-0.0
805823,-0.0
868463,0.0
376657,-0.0
709914,0.0
739133,-0.0
828953,0.0
411466,-0.0
186750,-0.0
538630,0.0
768448,0.0
376473,0.0
651697,-0.0
72818,0.0
816789,-0.0
469187,-0.0
759389,-0.0
73474,0.0
228372,20.0
742498,20.0
51566,0.0
811913,0.0
497740,0.0
801953,-0.0
847014,-0.0
739340,-0.0
583629,-0.0
637503,-0.0
688216,-0.0
840486,0.0
398023,-0.0
120660,-0.0
73660,3.0
849150,0.0
877503,0.0
428101,-0.0
216037,0.0
249359,0.0
780461,-0.0
572576,-0.0
73664,14.0
748363,0.0
855546,-0.0
841727,-0.0
861112,-0.0
615519,-0.0
455495,-0.0
72501,-0.0
473956,0.0
101578,-0.0
292364,-0.0
507913,0.0
552402,-0.0
709919,21.0
839306,-0.0
520641,-0.0
844241,-0.0
214425,-0.0
760212,-0.0
913942,-0.0
902845,14.0
892668,0.0
917054,0.0
901964,0.0
906855,-0.0
903562,-0.0
915850,-0.0
902630,0.0
920245,0.0
884541,-0.0
913922,-0.0
891312,-0.0
900422,-0.0
916375,-0.0
910935,-0.0
74215,15.0
774636,-0.0
115986,0.0
269754,-0.0
653844,-0.0
743958,-0.0
706211,0.0
824851,-0.0
822928,15.0
619312,0.0
795601,-0.0
880366,-0.0
817027,0.0
856477,0.0
881255,-0.0
848990,0.0
284239,0.0
473911,0.0
862375,-0.0
839704,-0.0
352517,-0.0
575478,-0.0
693209,-0.0
681612,-0.0
832979,0.0
847603,-0.0
870850,-0.0
795503,-0.0
596695,0.0
855108,0.0
779050,0.0
856744,-0.0
244213,36.0
510811,-0.0
675299,-0.0
807337,-0.0
871615,0.0
455011,-0.0
224599,19.0
814455,-0.0
670297,-0.0
791543,0.0
741672,0.0
843616,-0.0
601487,0.0
667485,-0.0
799005,0.0
496722,-0.0
709902,11.0
853987,0.0
730188,0.0
829521,-0.0
687440,-0.0
670573,0.0
813152,-0.0
