,facility_code,step,slot_expanded
0,837597,step1,8.0
1,837597,step2,4.0
2,837597,step3,1.0
3,661697,step1,-0.0
4,661697,step2,0.0
5,661697,step3,0.0
6,837329,step1,-0.0
7,837329,step2,0.0
8,837329,step3,0.0
9,350076,step1,0.0
10,350076,step2,0.0
11,350076,step3,0.0
12,292419,step1,7.0
13,292419,step2,3.0
14,292419,step3,0.0
15,229433,step1,8.0
16,229433,step2,4.0
17,229433,step3,4.0
18,827488,step1,0.0
19,827488,step2,0.0
20,827488,step3,0.0
21,912862,step1,0.0
22,912862,step2,0.0
23,912862,step3,0.0
24,893683,step1,29.0
25,893683,step2,14.0
26,893683,step3,14.0
27,73477,step1,0.0
28,73477,step2,0.0
29,73477,step3,0.0
30,120981,step1,30.0
31,120981,step2,11.0
32,120981,step3,0.0
33,73557,step1,14.0
34,73557,step2,0.0
35,73557,step3,0.0
36,694855,step1,0.0
37,694855,step2,0.0
38,694855,step3,0.0
39,338029,step1,0.0
40,338029,step2,0.0
41,338029,step3,0.0
42,247404,step1,0.0
43,247404,step2,0.0
44,247404,step3,0.0
45,73521,step1,17.0
46,73521,step2,0.0
47,73521,step3,0.0
48,742500,step1,23.0
49,742500,step2,0.0
50,742500,step3,0.0
51,51722,step1,0.0
52,51722,step2,0.0
53,51722,step3,0.0
54,73617,step1,0.0
55,73617,step2,0.0
56,73617,step3,0.0
57,209013,step1,0.0
58,209013,step2,0.0
59,209013,step3,0.0
60,74169,step1,19.0
61,74169,step2,0.0
62,74169,step3,0.0
63,64098,step1,0.0
64,64098,step2,0.0
65,64098,step3,0.0
66,661102,step1,-0.0
67,661102,step2,0.0
68,661102,step3,0.0
69,73420,step1,11.0
70,73420,step2,0.0
71,73420,step3,0.0
72,64035,step1,0.0
73,64035,step2,0.0
74,64035,step3,0.0
75,840218,step1,0.0
76,840218,step2,0.0
77,840218,step3,0.0
78,249795,step1,0.0
79,249795,step2,0.0
80,249795,step3,0.0
81,820372,step1,11.0
82,820372,step2,0.0
83,820372,step3,0.0
84,793907,step1,0.0
85,793907,step2,0.0
86,793907,step3,0.0
87,782860,step1,0.0
88,782860,step2,0.0
89,782860,step3,0.0
90,218172,step1,21.0
91,218172,step2,0.0
92,218172,step3,0.0
93,101512,step1,18.0
94,101512,step2,0.0
95,101512,step3,0.0
96,744771,step1,0.0
97,744771,step2,0.0
98,744771,step3,0.0
99,835652,step1,0.0
100,835652,step2,0.0
101,835652,step3,0.0
102,849400,step1,0.0
103,849400,step2,0.0
104,849400,step3,0.0
105,744762,step1,0.0
106,744762,step2,0.0
107,744762,step3,0.0
108,747475,step1,0.0
109,747475,step2,0.0
110,747475,step3,0.0
111,768543,step1,0.0
112,768543,step2,0.0
113,768543,step3,0.0
114,800085,step1,0.0
115,800085,step2,0.0
116,800085,step3,0.0
117,329041,step1,11.0
118,329041,step2,0.0
119,329041,step3,0.0
120,233257,step1,10.0
121,233257,step2,0.0
122,233257,step3,0.0
123,151021,step1,0.0
124,151021,step2,0.0
125,151021,step3,0.0
126,73423,step1,20.0
127,73423,step2,0.0
128,73423,step3,0.0
129,339200,step1,28.0
130,339200,step2,0.0
131,339200,step3,0.0
132,73562,step1,16.0
133,73562,step2,0.0
134,73562,step3,0.0
135,444459,step1,-0.0
136,444459,step2,0.0
137,444459,step3,0.0
138,368916,step1,0.0
139,368916,step2,0.0
140,368916,step3,0.0
141,773173,step1,0.0
142,773173,step2,0.0
143,773173,step3,0.0
144,709524,step1,11.0
145,709524,step2,0.0
146,709524,step3,0.0
147,73476,step1,0.0
148,73476,step2,0.0
149,73476,step3,0.0
150,846764,step1,0.0
151,846764,step2,0.0
152,846764,step3,0.0
153,266531,step1,22.0
154,266531,step2,0.0
155,266531,step3,0.0
156,327747,step1,-0.0
157,327747,step2,0.0
158,327747,step3,0.0
159,673663,step1,24.0
160,673663,step2,0.0
161,673663,step3,0.0
162,713043,step1,26.0
163,713043,step2,0.0
164,713043,step3,0.0
165,396891,step1,0.0
166,396891,step2,0.0
167,396891,step3,0.0
168,64214,step1,0.0
169,64214,step2,0.0
170,64214,step3,0.0
171,64053,step1,0.0
172,64053,step2,0.0
173,64053,step3,0.0
174,73422,step1,7.0
175,73422,step2,0.0
176,73422,step3,0.0
177,73559,step1,20.0
178,73559,step2,0.0
179,73559,step3,0.0
180,616797,step1,-0.0
181,616797,step2,0.0
182,616797,step3,0.0
183,820539,step1,15.0
184,820539,step2,0.0
185,820539,step3,0.0
186,908644,step1,14.0
187,908644,step2,0.0
188,908644,step3,0.0
189,918787,step1,0.0
190,918787,step2,0.0
191,918787,step3,0.0
192,903962,step1,0.0
193,903962,step2,0.0
194,903962,step3,0.0
195,908690,step1,11.0
196,908690,step2,0.0
197,908690,step3,0.0
198,709548,step1,21.0
199,709548,step2,10.0
200,709548,step3,-0.0
201,72820,step1,19.0
202,72820,step2,9.0
203,72820,step3,-0.0
204,260286,step1,5.0
205,260286,step2,-0.0
206,260286,step3,-0.0
207,741997,step1,17.0
208,741997,step2,-0.0
209,741997,step3,-0.0
210,741987,step1,43.0
211,741987,step2,-0.0
212,741987,step3,-0.0
213,709555,step1,11.0
214,709555,step2,4.0
215,709555,step3,-0.0
216,906583,step1,21.0
217,906583,step2,-0.0
218,906583,step3,-0.0
219,73620,step1,0.0
220,73620,step2,0.0
221,73620,step3,0.0
222,741995,step1,25.0
223,741995,step2,12.0
224,741995,step3,2.0
225,397219,step1,-0.0
226,397219,step2,-0.0
227,397219,step3,-0.0
228,914104,step1,15.0
229,914104,step2,7.0
230,914104,step3,-0.0
231,73663,step1,-0.0
232,73663,step2,0.0
233,73663,step3,0.0
234,217639,step1,-0.0
235,217639,step2,-0.0
236,217639,step3,-0.0
237,698848,step1,4.0
238,698848,step2,-0.0
239,698848,step3,-0.0
240,72446,step1,-0.0
241,72446,step2,0.0
242,72446,step3,0.0
243,709528,step1,8.0
244,709528,step2,4.0
245,709528,step3,-0.0
246,846799,step1,-0.0
247,846799,step2,0.0
248,846799,step3,0.0
249,299734,step1,-0.0
250,299734,step2,0.0
251,299734,step3,0.0
252,231469,step1,23.0
253,231469,step2,11.0
254,231469,step3,-0.0
255,760214,step1,5.0
256,760214,step2,2.0
257,760214,step3,-0.0
258,764811,step1,3.0
259,764811,step2,1.0
260,764811,step3,-0.0
261,384253,step1,0.0
262,384253,step2,0.0
263,384253,step3,0.0
264,711312,step1,8.0
265,711312,step2,4.0
266,711312,step3,-0.0
267,101462,step1,32.0
268,101462,step2,16.0
269,101462,step3,7.0
270,74167,step1,15.0
271,74167,step2,7.0
272,74167,step3,-0.0
273,73508,step1,13.0
274,73508,step2,6.0
275,73508,step3,-0.0
276,64274,step1,0.0
277,64274,step2,0.0
278,64274,step3,0.0
279,730526,step1,30.0
280,730526,step2,15.0
281,730526,step3,-0.0
282,64266,step1,0.0
283,64266,step2,0.0
284,64266,step3,0.0
285,627129,step1,-0.0
286,627129,step2,0.0
287,627129,step3,0.0
288,443178,step1,0.0
289,443178,step2,0.0
290,443178,step3,0.0
291,358298,step1,-0.0
292,358298,step2,0.0
293,358298,step3,0.0
294,780704,step1,8.0
295,780704,step2,4.0
296,780704,step3,-0.0
297,720105,step1,0.0
298,720105,step2,0.0
299,720105,step3,0.0
300,661574,step1,0.0
301,661574,step2,0.0
302,661574,step3,0.0
303,711039,step1,16.0
304,711039,step2,8.0
305,711039,step3,-0.0
306,124303,step1,0.0
307,124303,step2,0.0
308,124303,step3,0.0
309,805711,step1,0.0
310,805711,step2,0.0
311,805711,step3,0.0
312,765875,step1,0.0
313,765875,step2,0.0
314,765875,step3,0.0
315,825379,step1,0.0
316,825379,step2,0.0
317,825379,step3,0.0
318,709546,step1,17.0
319,709546,step2,0.0
320,709546,step3,0.0
321,779279,step1,0.0
322,779279,step2,0.0
323,779279,step3,0.0
324,254731,step1,40.0
325,254731,step2,20.0
326,254731,step3,0.0
327,741990,step1,38.0
328,741990,step2,19.0
329,741990,step3,0.0
330,863711,step1,0.0
331,863711,step2,0.0
332,863711,step3,0.0
333,902868,step1,26.0
334,902868,step2,4.0
335,902868,step3,0.0
336,889850,step1,0.0
337,889850,step2,0.0
338,889850,step3,0.0
339,52405,step1,0.0
340,52405,step2,0.0
341,52405,step3,0.0
342,693059,step1,0.0
343,693059,step2,0.0
344,693059,step3,0.0
345,874924,step1,-0.0
346,874924,step2,-0.0
347,874924,step3,-0.0
348,73581,step1,12.0
349,73581,step2,-0.0
350,73581,step3,-0.0
351,848481,step1,-0.0
352,848481,step2,0.0
353,848481,step3,0.0
354,73506,step1,21.0
355,73506,step2,-0.0
356,73506,step3,-0.0
357,736322,step1,-0.0
358,736322,step2,0.0
359,736322,step3,0.0
360,801925,step1,0.0
361,801925,step2,-0.0
362,801925,step3,-0.0
363,712081,step1,1.0
364,712081,step2,-0.0
365,712081,step3,-0.0
366,839931,step1,0.0
367,839931,step2,0.0
368,839931,step3,0.0
369,613980,step1,-0.0
370,613980,step2,-0.0
371,613980,step3,-0.0
372,920666,step1,0.0
373,920666,step2,0.0
374,920666,step3,0.0
375,913240,step1,-0.0
376,913240,step2,-0.0
377,913240,step3,-0.0
378,333086,step1,-0.0
379,333086,step2,0.0
380,333086,step3,0.0
381,866851,step1,-0.0
382,866851,step2,-0.0
383,866851,step3,-0.0
384,880314,step1,-0.0
385,880314,step2,-0.0
386,880314,step3,-0.0
387,73544,step1,0.0
388,73544,step2,0.0
389,73544,step3,0.0
390,74092,step1,0.0
391,74092,step2,0.0
392,74092,step3,0.0
393,826115,step1,0.0
394,826115,step2,0.0
395,826115,step3,0.0
396,853113,step1,0.0
397,853113,step2,0.0
398,853113,step3,0.0
399,412458,step1,0.0
400,412458,step2,0.0
401,412458,step3,0.0
402,380174,step1,0.0
403,380174,step2,0.0
404,380174,step3,0.0
405,64373,step1,0.0
406,64373,step2,0.0
407,64373,step3,0.0
408,52235,step1,0.0
409,52235,step2,0.0
410,52235,step3,0.0
411,73566,step1,0.0
412,73566,step2,0.0
413,73566,step3,0.0
414,848308,step1,11.0
415,848308,step2,0.0
416,848308,step3,0.0
417,741983,step1,0.0
418,741983,step2,0.0
419,741983,step3,0.0
420,66813,step1,0.0
421,66813,step2,0.0
422,66813,step3,0.0
423,826825,step1,22.0
424,826825,step2,0.0
425,826825,step3,0.0
426,431806,step1,0.0
427,431806,step2,0.0
428,431806,step3,0.0
429,825380,step1,-0.0
430,825380,step2,-0.0
431,825380,step3,-0.0
432,852478,step1,0.0
433,852478,step2,0.0
434,852478,step3,0.0
435,804630,step1,30.0
436,804630,step2,15.0
437,804630,step3,8.0
438,817242,step1,9.0
439,817242,step2,4.0
440,817242,step3,0.0
441,679107,step1,0.0
442,679107,step2,0.0
443,679107,step3,0.0
444,664649,step1,0.0
445,664649,step2,0.0
446,664649,step3,0.0
447,808445,step1,9.0
448,808445,step2,4.0
449,808445,step3,0.0
450,805702,step1,22.0
451,805702,step2,11.0
452,805702,step3,0.0
453,879326,step1,20.0
454,879326,step2,10.0
455,879326,step3,0.0
456,905115,step1,4.0
457,905115,step2,2.0
458,905115,step3,0.0
459,892293,step1,12.0
460,892293,step2,6.0
461,892293,step3,0.0
462,702707,step1,-0.0
463,702707,step2,0.0
464,702707,step3,0.0
465,741994,step1,0.0
466,741994,step2,-0.0
467,741994,step3,-0.0
468,822384,step1,-0.0
469,822384,step2,-0.0
470,822384,step3,-0.0
471,741992,step1,0.0
472,741992,step2,-0.0
473,741992,step3,-0.0
474,613926,step1,-0.0
475,613926,step2,0.0
476,613926,step3,0.0
477,563447,step1,-0.0
478,563447,step2,0.0
479,563447,step3,0.0
480,772592,step1,0.0
481,772592,step2,0.0
482,772592,step3,0.0
483,805710,step1,0.0
484,805710,step2,-0.0
485,805710,step3,-0.0
486,663226,step1,0.0
487,663226,step2,0.0
488,663226,step3,0.0
489,638201,step1,0.0
490,638201,step2,-0.0
491,638201,step3,-0.0
492,860035,step1,-0.0
493,860035,step2,0.0
494,860035,step3,0.0
495,718134,step1,-0.0
496,718134,step2,0.0
497,718134,step3,0.0
498,889399,step1,-0.0
499,889399,step2,0.0
500,889399,step3,0.0
501,905401,step1,0.0
502,905401,step2,0.0
503,905401,step3,0.0
504,71190,step1,0.0
505,71190,step2,0.0
506,71190,step3,0.0
507,872586,step1,0.0
508,872586,step2,0.0
509,872586,step3,0.0
510,837717,step1,0.0
511,837717,step2,0.0
512,837717,step3,0.0
513,273359,step1,0.0
514,273359,step2,0.0
515,273359,step3,0.0
516,823536,step1,-0.0
517,823536,step2,0.0
518,823536,step3,0.0
519,861501,step1,0.0
520,861501,step2,0.0
521,861501,step3,0.0
522,149672,step1,0.0
523,149672,step2,0.0
524,149672,step3,0.0
525,388170,step1,13.0
526,388170,step2,0.0
527,388170,step3,0.0
528,877353,step1,-0.0
529,877353,step2,0.0
530,877353,step3,0.0
531,728352,step1,28.0
532,728352,step2,0.0
533,728352,step3,0.0
534,158689,step1,0.0
535,158689,step2,0.0
536,158689,step3,0.0
537,51742,step1,0.0
538,51742,step2,0.0
539,51742,step3,0.0
540,860160,step1,0.0
541,860160,step2,0.0
542,860160,step3,0.0
543,817683,step1,0.0
544,817683,step2,0.0
545,817683,step3,0.0
546,736567,step1,-0.0
547,736567,step2,0.0
548,736567,step3,0.0
549,324437,step1,0.0
550,324437,step2,0.0
551,324437,step3,0.0
552,788797,step1,-0.0
553,788797,step2,0.0
554,788797,step3,0.0
555,806960,step1,13.0
556,806960,step2,0.0
557,806960,step3,0.0
558,596999,step1,0.0
559,596999,step2,0.0
560,596999,step3,0.0
561,355028,step1,0.0
562,355028,step2,0.0
563,355028,step3,0.0
564,849222,step1,-0.0
565,849222,step2,0.0
566,849222,step3,0.0
567,628344,step1,0.0
568,628344,step2,0.0
569,628344,step3,0.0
570,64496,step1,0.0
571,64496,step2,0.0
572,64496,step3,0.0
573,824561,step1,0.0
574,824561,step2,0.0
575,824561,step3,0.0
576,794872,step1,18.0
577,794872,step2,0.0
578,794872,step3,0.0
579,765494,step1,0.0
580,765494,step2,0.0
581,765494,step3,0.0
582,73540,step1,19.0
583,73540,step2,0.0
584,73540,step3,0.0
585,64447,step1,0.0
586,64447,step2,0.0
587,64447,step3,0.0
588,845170,step1,6.0
589,845170,step2,0.0
590,845170,step3,0.0
591,567083,step1,0.0
592,567083,step2,0.0
593,567083,step3,0.0
594,856033,step1,-0.0
595,856033,step2,0.0
596,856033,step3,0.0
597,384331,step1,0.0
598,384331,step2,0.0
599,384331,step3,0.0
600,899398,step1,0.0
601,899398,step2,0.0
602,899398,step3,0.0
603,886512,step1,0.0
604,886512,step2,0.0
605,886512,step3,0.0
606,895454,step1,0.0
607,895454,step2,0.0
608,895454,step3,0.0
609,919478,step1,12.0
610,919478,step2,0.0
611,919478,step3,0.0
612,520607,step1,-0.0
613,520607,step2,0.0
614,520607,step3,0.0
615,396566,step1,-0.0
616,396566,step2,0.0
617,396566,step3,0.0
618,734382,step1,-0.0
619,734382,step2,0.0
620,734382,step3,0.0
621,764256,step1,-0.0
622,764256,step2,0.0
623,764256,step3,0.0
624,64687,step1,0.0
625,64687,step2,0.0
626,64687,step3,0.0
627,461108,step1,-0.0
628,461108,step2,0.0
629,461108,step3,0.0
630,66981,step1,0.0
631,66981,step2,0.0
632,66981,step3,0.0
633,321229,step1,0.0
634,321229,step2,0.0
635,321229,step3,0.0
636,232906,step1,19.0
637,232906,step2,-0.0
638,232906,step3,-0.0
639,710423,step1,-0.0
640,710423,step2,0.0
641,710423,step3,0.0
642,64700,step1,0.0
643,64700,step2,0.0
644,64700,step3,0.0
645,73528,step1,-0.0
646,73528,step2,-0.0
647,73528,step3,-0.0
648,205735,step1,-0.0
649,205735,step2,0.0
650,205735,step3,0.0
651,826823,step1,5.0
652,826823,step2,-0.0
653,826823,step3,-0.0
654,363015,step1,0.0
655,363015,step2,0.0
656,363015,step3,0.0
657,842148,step1,0.0
658,842148,step2,0.0
659,842148,step3,0.0
660,381536,step1,-0.0
661,381536,step2,0.0
662,381536,step3,0.0
663,441669,step1,-0.0
664,441669,step2,0.0
665,441669,step3,0.0
666,780996,step1,0.0
667,780996,step2,0.0
668,780996,step3,0.0
669,851678,step1,0.0
670,851678,step2,0.0
